title,node_id,path,short_description,uuid
"New England Regional Transportation Map",399956,"/new-england-regional-transportation-map","A map of consolidated transit options throughout New England.","cd365873-3aa8-4de0-a7f8-dce54f147245"
"Youth services",398241,"/youth-services","Massachusettts youth programs and services","aafc2647-2cfe-4a94-9c27-57f084cfbb61"
"I-91 Viaduct Rehabilitation Project",397946,"/i-91-viaduct-rehabilitation-project","Full Beneficial Use of the I-91 Viaduct and associated ramps was reached on December 22, 2017. This milestone means that the majority of work has been completed.","5ff20061-ab12-464f-b100-a89c99d38943"
"DHCD - Public Records Requests, Open Meetings, OnLine Web Secured Services",396796,"/dhcd-public-records-requests-open-meetings-online-web-secured-services","Pubic Records Requests, Fraud Waste and Abuse Reporting, Open Meeting Notices and secured access for business partner online web services.","0ea03163-5492-4d56-9e7a-337c1cb94779"
"Values and Vision",396456,"/values-and-vision","D.A. Caccaviello's vision for the District Attorney's Office begins with these values and goals that he exemplifies and promotes.","3b22d21d-3817-476f-abef-04b6f2aa8ca7"
"MassHealth contracts with Primary Care ACOs (Staging Page)",396346,"/masshealth-contracts-with-primary-care-acos-staging-page","Contracts between MassHealth and Primary Care Accountable Care Organizations (ACOs)","d7934932-a5b1-479e-9a34-1e2ecc7dbd80"
"Office of Public Safety and Inspections (OPSI) Licensing",395376,"/office-of-public-safety-and-inspections-opsi-licensing","Information on getting a first-time license or license renewal","988576bf-5a6c-4f69-9b1f-82b7178c0a38"
"\""Brain Building in Progress\"" campaign",391701,"/brain-building-in-progress-campaign","The \""Brain Building in Progress\"" campaign is building young minds and the future of Massachusetts.","1acafc1b-53ba-4161-ada6-cf37ece207fd"
"MassBays Resources",390711,"/massbays-resources","MassBays provides and produces resources to support working in the Bays.","3221ff84-3f29-4ce6-a91f-7269586790fa"
"Our Partners",390461,"/our-partners","MassBays is a collaboration of local, state, and federal agencies, NGOs, and academia working to protect and restore the Bays.","c74c45fe-2b2a-431b-b203-f4a35f1d63bc"
"Public Warehouses",390001,"/public-warehouses","Prior to owning or operating a public warehouse in Massachusetts, a person or corporation must obtain a license from the Division of Regulated Activities.","595a6622-1f57-4485-bf05-345cc97f8df1"
"Mass. Rehab Commission PCA Job Candidates",389616,"/mass-rehab-commission-pca-job-candidates","The PCA Workforce Council has partnered with the Massachusetts Rehabilitation Commission (MRC) to offer PCA consumer employers job recruitment and placement services.","58f3faa0-9196-46e6-99b0-df13e1f0f629"
"Privacy & Confidentiality at DPH",389501,"/privacy-confidentiality-at-dph","Maintaining the privacy of the confidential data held at the Department of Public Health is critical to the fulfillment of our core public health responsibilities.","a98eb520-0584-4b48-8621-d5c9410bf919"
"What is a MassHealth PCA",387891,"/what-is-a-masshealth-pca","A PCA is a person recruited and hired by an individual (PCA Consumer-employer)","177a71e6-9909-402c-b6f6-3687ce333e22"
"South Station Expansion",386686,"/south-station-expansion","Information concerning the expansion of the South Station Rail Terminal project.","ddd512b7-e439-4751-b26a-0ede1390b00a"
"Whittier Bridge/I-95 Improvement Project",386006,"/whittier-bridgei-95-improvement-project","Information supporting the Whittier Bridge/I-95 Improvement Project","956dc28d-46ce-4060-be91-5cf71d0ff5b1"
"2018 Navigational Dredging Pilot Program",385611,"/2018-navigational-dredging-pilot-program","The Baker-Polito Administration has launched the Navigational Dredging Pilot Grant program to assist coastal communities and support Massachusetts' maritime economy.","2c3d7da5-f48f-448e-a22c-75dcbd208fd7"
"Roadside Landscape Design",385071,"/roadside-landscape-design","The Massachusetts Department of Transportation Landscape Design Section provides design and guidance for preservation and restoration of the landscape of Massachusetts highways, streets, bridges, and shared use paths.","6247487e-8b12-4cb8-bc44-a9820addff95"
"MCAD Internship Opportunities",384906,"/mcad-internship-opportunities","Apply for a full-time or part-time Internship at one of the four MCAD Offices for the 2018-2019 academic semesters.","1afae43a-f776-47cf-807d-02524776b361"
"Route 44 Over Route 24 Bridge Replacement Project",384731,"/route-44-over-route-24-bridge-replacement-project","Replacing the existing bridge carrying US Route 44 over State Route 24 in Raynham, Massachusetts.","6a4063c3-7c94-4742-a881-d60c780b3047"
"_QAG Service_4",384411,"/qag-service4","Egestas integer eget aliquet nibh praesent tristique magna sit amet. Nunc mattis enim ut tellus elementum sagittis vitae et.","2aa92d09-e017-4368-9cb4-67ebb1a5e83c"
"_QAG Service_3",384391,"/qag-service3","Dui nunc mattis enim ut tellus. Porttitor eget dolor morbi non arcu risus. Aliquam purus sit amet luctus venenatis lectus. Eget nullam non nisi est sit.","5bbd590c-c98c-4222-8768-a8c076c5a530"
